name,signpost_id,start_s,end_s,duration_ms,begin_message,outcome
FeedAssignWindow,0x9c,18.703387791,18.703435416,0.0476250000005507,item=game_0005,completed
FeedRenderCells,0x9d,18.703407291,18.703432458,0.0251670000004367,,completed
WebPoolReconcile,0x9e,18.70363175,18.955759666,252.12791599999917,current=game_0005 eligible=game_0005,completed
WebSlotReset,0x9f,18.703638333,18.703835791,0.19745799999881797,item=game_0000,completed
WebSlotReset,0xa0,18.703840083,18.70396125,0.12116699999964453,item=game_0001,completed
WebLoadToReady,0xa1,18.703997791,22.504445958,3800.4481670000027,item=game_0005 role=current slot=2,reset or cancelled
FeedRenderCells,0xa2,18.704180291,18.955758458,251.57816699999813,,completed
FeedWebViewAttach,0xa3,18.704186083,18.955650958,251.46487499999992,item=game_0005,completed
FeedDrag,0xa4,18.957186708,18.957369,0.18229200000163814,item=game_0005,drag ended
FeedSettle,0xa5,18.957370375,18.957415416,0.0450409999999124,,completed
FeedAssignWindow,0xa6,18.957373875,18.957395041,0.021166000003347563,item=game_0005,completed
FeedRenderCells,0xa7,18.957379166,18.9573915,0.01233400000089091,,completed
WebPoolReconcile,0xa8,18.95829875,18.958317666,0.018915999998370125,current=game_0005 eligible=game_0005,completed
FeedRenderCells,0xa9,18.958310416,18.958316958,0.006542000001275028,,completed
FeedRenderCells,0xaa,18.959447958,18.959470833,0.02287500000264231,,completed
WebPoolReconcile,0xab,18.971345,18.971629833,0.28483300000203826,current=game_0005 eligible=game_0005,completed
WebLoadToReady,0xac,18.971432333,21.587599375,2616.167042000001,item=game_0003 role=adjacent slot=1,reset or cancelled
FeedRenderCells,0xad,18.971605416,18.971628291,0.022874999999089596,,completed
FeedRenderCells,0xae,18.975004458,18.975025416,0.02095800000034842,,completed
WebPoolReconcile,0xaf,19.202981083,19.203174625,0.19354199999810362,current=game_0005 eligible=game_0005,completed
WebLoadToReady,0xb0,19.203046916,25.722685291,6519.6383749999995,item=game_0006 role=adjacent slot=0,reset or cancelled
FeedRenderCells,0xb1,19.203156458,19.2031735,0.017041999999634072,,completed
FeedRenderCells,0xb2,19.207575875,19.207598916,0.023040999998613643,,completed
FeedDrag,0xb3,20.978849708,21.228973708,250.12400000000312,item=game_0005,drag ended
WebPoolReconcile,0xb4,20.979006625,20.979031083,0.024457999998617197,current=game_0005 eligible=none,completed
FeedRenderCells,0xb5,20.979017541,20.979030291,0.012749999999783768,,completed
FeedWebViewAttach,0xb6,20.995487541,20.995909041,0.4215000000016289,item=game_0006,completed
FeedDeceleration,0xb7,21.228977291,21.58721075,358.23345900000095,,settled
FeedWebViewDetach,0xb8,21.570591666,21.571213,0.6213340000016387,item=game_0005,completed
FeedSettle,0xb9,21.587213708,21.587362833,0.14912500000008322,,completed
FeedAssignWindow,0xba,21.587225791,21.587276458,0.050667000000004236,item=game_0006,completed
FeedRenderCells,0xbb,21.587246541,21.587273083,0.026542000000517874,,completed
WebPoolReconcile,0xbc,21.587483875,21.587771916,0.28804100000101585,current=game_0006 eligible=game_0006,completed
WebSlotReset,0xbd,21.587493708,21.587737041,0.24333300000023428,item=game_0003,completed
FeedRenderCells,0xbe,21.587754958,21.587770625,0.0156669999995529,,completed
FeedDrag,0xbf,22.045759625,22.154089625,108.33000000000226,item=game_0006,drag ended
WebPoolReconcile,0xc0,22.04605075,22.046100708,0.049958000001737446,current=game_0006 eligible=none,completed
FeedRenderCells,0xc1,22.046074416,22.046099083,0.02466700000169908,,completed
FeedDeceleration,0xc2,22.154093,22.50402925,349.93624999999895,,settled
FeedWebViewDetach,0xc3,22.487419833,22.487742166,0.3223329999997304,item=game_0006,completed
FeedSettle,0xc4,22.504032583,22.504200083,0.16749999999987608,,completed
FeedAssignWindow,0xc5,22.504043791,22.50410775,0.06395899999844801,item=game_0007,completed
FeedRenderCells,0xc6,22.504066125,22.504089958,0.02383300000019517,,completed
WebPoolReconcile,0xc7,22.504327125,22.504617791,0.2906660000014938,current=game_0007 eligible=game_0007,completed
WebSlotReset,0xc8,22.504346041,22.504584625,0.23858399999809876,item=game_0005,completed
FeedRenderCells,0xc9,22.504602916,22.504616375,0.013459000001603272,,completed
FeedFilter,0xca,22.5046375,22.504647958,0.010457999998436662,count=10,completed
FeedFilter,0xcb,22.504681958,22.504689125,0.007166999999697055,count=10,completed
FeedFilter,0xcc,22.504698708,22.504705041,0.006333000001745859,count=10,completed
FeedPageLoad,0xcd,22.50471475,23.056429333,551.714582999999,page=1 generation=2 attempt=0,completed
FeedFilter,0xce,23.056370291,23.056383083,0.01279199999970615,count=20,completed
FeedFilter,0xcf,23.05643375,23.056444,0.010249999998990234,count=20,completed
FeedSnapshot,0xd0,23.056963791,23.061810833,4.84704199999797,old=8 new=16 revision=2,completed
WebPoolReconcile,0xd1,23.061643166,23.061685208,0.042042000000463986,current=game_0007 eligible=none,completed
FeedRenderCells,0xd2,23.0616655,23.061683416,0.017916000000894883,,completed
FeedAssignWindow,0xd3,23.061712125,23.061736541,0.024415999998694815,item=game_0007,completed
FeedRenderCells,0xd4,23.061724916,23.061733375,0.008459000000016204,,completed
WebPoolReconcile,0xd5,23.061857958,23.061879833,0.02187499999806164,current=game_0007 eligible=game_0007,completed
FeedRenderCells,0xd6,23.061871375,23.061878583,0.007207999999536696,,completed
WebPoolReconcile,0xd7,23.264761041,23.26603025,1.26920900000016,current=game_0007 eligible=game_0007,completed
WebLoadToReady,0xd8,23.264854458,27.5562285,4291.374042000001,item=game_0007 role=current slot=2,reset or cancelled
FeedRenderCells,0xd9,23.265083375,23.266027791,0.9444159999993929,,completed
FeedWebViewAttach,0xda,23.265095375,23.265850083,0.7547079999987716,item=game_0007,completed
FeedRenderCells,0xdb,23.273795333,23.27382925,0.03391699999966136,,completed
FeedDrag,0xdc,25.079753958,25.379681791,299.92783299999815,item=game_0007,drag ended
WebPoolReconcile,0xdd,25.080053666,25.080105333,0.05166699999747948,current=game_0007 eligible=none,completed
FeedRenderCells,0xde,25.080077583,25.080103708,0.026124999997989562,,completed
FeedDeceleration,0xdf,25.379685666,25.721406583,341.720917,,settled
FeedSettle,0xe0,25.72141025,25.721589125,0.17887499999957868,,completed
FeedAssignWindow,0xe1,25.721421208,25.721486583,0.06537500000192153,item=game_0008,completed
FeedRenderCells,0xe2,25.721445416,25.721482708,0.03729199999824573,,completed
FeedWebViewDetach,0xe3,25.721765958,25.722456833,0.6908750000000907,item=game_0007,completed
WebPoolReconcile,0xe4,25.722570708,25.722862708,0.2920000000017353,current=game_0008 eligible=game_0008,completed
WebSlotReset,0xe5,25.722579583,25.7228245,0.24491699999984462,item=game_0006,completed
FeedRenderCells,0xe6,25.722845625,25.722861333,0.01570799999939254,,completed
WebPoolReconcile,0xe7,26.124881916,26.125892708,1.0107919999988724,current=game_0008 eligible=game_0008,completed
WebLoadToReady,0xe8,26.124970708,29.322307958,3197.3372500000005,item=game_0008 role=current slot=0,reset or cancelled
FeedRenderCells,0xe9,26.125146333,26.125890791,0.7444579999997814,,completed
FeedWebViewAttach,0xea,26.125155833,26.125743208,0.5873749999985023,item=game_0008,completed
FeedRenderCells,0xeb,26.1435,26.143537708,0.0377080000006913,,completed
FeedDrag,0xec,26.930035833,27.213323541,283.2877079999996,item=game_0008,drag ended
WebPoolReconcile,0xed,26.930360625,26.930418958,0.058333000001908886,current=game_0008 eligible=none,completed
FeedRenderCells,0xee,26.930385625,26.930417125,0.03150000000218256,,completed
FeedDeceleration,0xef,27.213327541,27.555051958,341.7244169999982,,settled
FeedSettle,0xf0,27.555055125,27.555245291,0.1901659999994365,,completed
FeedAssignWindow,0xf1,27.555066666,27.555142125,0.07545900000138772,item=game_0009,completed
FeedRenderCells,0xf2,27.555101583,27.555137875,0.036292000000770486,,completed
FeedWebViewDetach,0xf3,27.555390625,27.556016083,0.6254579999982468,item=game_0008,completed
WebPoolReconcile,0xf4,27.55612575,27.556391958,0.2662079999993239,current=game_0009 eligible=game_0009,completed
WebSlotReset,0xf5,27.556135833,27.556359791,0.22395799999941346,item=game_0007,completed
FeedRenderCells,0xf6,27.556378666,27.5563905,0.011833999998600575,,completed
WebPoolReconcile,0xf7,27.930575916,27.931927833,1.351917000000924,current=game_0009 eligible=game_0009,completed
WebLoadToReady,0xf8,27.930687083,31.08927525,3158.5881670000012,item=game_0009 role=current slot=2,reset or cancelled
FeedRenderCells,0xf9,27.930985125,27.931925708,0.9405830000019932,,completed
FeedWebViewAttach,0xfa,27.930999625,27.931760541,0.760916000000833,item=game_0009,completed
FeedRenderCells,0xfb,27.938904708,27.93893775,0.03304200000187052,,completed
FeedDrag,0xfc,28.530382541,28.97191725,441.534708999999,item=game_0009,drag ended
WebPoolReconcile,0xfd,28.531366041,28.531424875,0.05883400000072925,current=game_0009 eligible=none,completed
FeedRenderCells,0xfe,28.531390541,28.531422958,0.03241699999989578,,completed
FeedDeceleration,0xff,28.971920875,29.32185125,349.9303750000031,,settled
FeedWebViewDetach,0x100,29.305244416,29.305431583,0.1871669999999881,item=game_0009,completed
FeedSettle,0x101,29.321854458,29.322021,0.1665419999987705,,completed
FeedAssignWindow,0x102,29.321864541,29.32192225,0.057709000000016886,item=game_0010,completed
FeedRenderCells,0x103,29.3218885,29.321917375,0.02887500000170462,,completed
WebPoolReconcile,0x104,29.322190458,29.32249575,0.3052920000001791,current=game_0010 eligible=game_0010,completed
WebSlotReset,0x105,29.322200166,29.322457291,0.2571250000009684,item=game_0008,completed
FeedRenderCells,0x106,29.322478875,29.322494166,0.01529099999686423,,completed
WebPoolReconcile,0x107,30.082664375,30.083367166,0.7027909999983706,current=game_0010 eligible=game_0010,completed
WebLoadToReady,0x108,30.082726791,32.940838333,2858.1115420000033,item=game_0010 role=current slot=1,reset or cancelled
FeedRenderCells,0x109,30.08285625,30.083366166,0.5099160000021641,,completed
FeedWebViewAttach,0x10a,30.082862541,30.083267041,0.4044999999983645,item=game_0010,completed
FeedRenderCells,0x10b,30.090681583,30.0907085,0.026917000003123803,,completed
FeedDrag,0x10c,30.280845666,30.755529583,474.6839170000001,item=game_0010,drag ended
WebPoolReconcile,0x10d,30.281106958,30.281158583,0.05162500000110981,current=game_0010 eligible=none,completed
FeedRenderCells,0x10e,30.281130916,30.281156916,0.02600000000185787,,completed
FeedDeceleration,0x10f,30.755533375,31.088802875,333.2695000000001,,settled
FeedSettle,0x110,31.088804666,31.088915916,0.11124999999978513,,completed
FeedAssignWindow,0x111,31.088812625,31.088852708,0.04008300000180043,item=game_0012,completed
FeedRenderCells,0x112,31.088829083,31.088850416,0.021332999999401636,,completed
