time_s,event_type,name,signpost_id,message,process,thread
41.342152125,Event,FeedCurrentItem,OS_SIGNPOST_ID_EXCLUSIVE,index=18 item=game_0022,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342153916,Begin,FeedAssignWindow,0x176,item=game_0022,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342219416,Begin,FeedRenderCells,0x177,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342252208,End,FeedRenderCells,0x177,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.3422585,End,FeedAssignWindow,0x176,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342275625,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0022,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342350416,End,FeedSettle,0x175,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342562708,Begin,WebPoolReconcile,0x178,current=game_0022 eligible=game_0022,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.34257225,Begin,WebSlotReset,0x179,item=game_0020,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342660666,End,WebLoadToReady,0x15c,reset or cancelled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342748416,End,WebSlotReset,0x179,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342820916,Begin,FeedRenderCells,0x17a,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342836541,End,FeedRenderCells,0x17a,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342838083,End,WebPoolReconcile,0x178,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
42.117893375,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=blank,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
42.123675208,Begin,WebPoolReconcile,0x17b,current=game_0022 eligible=game_0022,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
